"word","freq"
"the floor",142
"the following",142
"the hospital",142
"the person",142
"to and",142
"was one",142
"well be",142
"where they",142
"will make",142
"work in",142
"a team",141
"create a",141
"it makes",141
"its going",141
"return to",141
"said we",141
"the reason",141
"thing i",141
"was at",141
"a part",140
"addition to",140
"be at",140
"ended up",140
"i wasnt",140
"or so",140
"the center",140
"the court",140
"thought i",140
"we love",140
"when youre",140
"your favorite",140
"a pretty",139
"and with",139
"at me",139
"form of",139
"give me",139
"my family",139
"the kind",139
"the question",139
"with one",139
"a really",138
"a series",138
"all you",138
"but also",138
"come up",138
"did the",138
"its own",138
"know you",138
"let us",138
"on its",138
"other than",138
"see if",138
"tend to",138
"the market",138
"to feel",138
"were all",138
"but she",137
"get back",137
"had an",137
"i may",137
"i wont",137
"it may",137
"living in",137
"me up",137
"middle of",137
"the room",137
"what happened",137
"when im",137
"family and",136
"hundreds of",136
"if u",136
"next time",136
"someone who",136
"the area",136
"the county",136
"the front",136
"the power",136
"the three",136
"the weather",136
"to its",136
"to provide",136
"where we",136
"and let",135
"important to",135
"make you",135
"that his",135
"the issue",135
"the perfect",135
"this book",135
"wake up",135
"was my",135
"at his",134
"call me",134
"dont forget",134
"for its",134
"home to",134
"in on",134
"proud of",134
"series of",134
"soon as",134
"the latest",134
"the rt",134
"we did",134
"why is",134
"you got",134
"you on",134
"a family",133
"are on",133
"as to",133
"do is",133
"few years",133
"good for",133
"have not",133
"i asked",133
"in for",133
"let the",133
"or even",133
"people and",133
"take it",133
"taking a",133
"the music",133
"to save",133
"to what",133
"using the",133
"about you",132
"for now",132
"has not",132
"her and",132
"is always",132
"look forward",132
"pretty much",132
"state of",132
"the list",132
"the program",132
"to join",132
"to visit",132
"a child",131
"a full",131
"also a",131
"at first",131
"get on",131
"good thing",131
"is good",131
"nothing to",131
"on me",131
"that makes",131
"that means",131
"the line",131
"the president",131
"the summer",131
"to school",131
"to support",131
"took the",131
"you look",131
"a former",130
"and also",130
"as she",130
"came out",130
"followed by",130
"im gonna",130
"in there",130
"pay for",130
"that all",130
"time with",130
"to pick",130
"ways to",130
"a problem",129
"all in",129
"as many",129
"bunch of",129
"but then",129
"get your",129
"great day",129
"it looks",129
"managed to",129
"on what",129
"only to",129
"the economy",129
"the local",129
"was able",129
"win the",129
"a bunch",128
"and at",128
"are more",128
"did it",128
"do we",128
"got my",128
"hit the",128
"i wouldnt",128
"if your",128
"man who",128
"not so",128
"one more",128
"still have",128
"the early",128
"the police",128
"think you",128
"who will",128
"am going",127
"an email",127
"as far",127
"as soon",127
"attempt to",127
"do something",127
"does it",127
"glad to",127
"it might",127
"its so",127
"its time",127
"ive never",127
"so im",127
"so they",127
"terms of",127
"things to",127
"very good",127
"be back",126
"change the",126
"dont you",126
"great to",126
"happened to",126
"in san",126
"of one",126
"of work",126
"the former",126
"the ones",126
"the west",126
"the years",126
"up my",126
"without a",126
"years old",126
"food and",125
"game of",125
"he doesnt",125
"on tuesday",125
"the kitchen",125
"to hold",125
"with and",125
"won the",125
"working with",125
"a young",124
"all these",124
"and our",124
"are just",124
"been the",124
"but thats",124
"but what",124
"dont even",124
"for sure",124
"in with",124
"much to",124
"none of",124
"on thursday",124
"quite a",124
"school and",124
"the red",124
"they did",124
"two weeks",124
"a girl",123
"and go",123
"day for",123
"getting a",123
"hes a",123
"in life",123
"in march",123
"including the",123
"involved in",123
"new year",123
"starting to",123
"the food",123
"the opportunity",123
"to speak",123
"to those",123
"a yearold",122
"back at",122
"even a",122
"felt like",122
"how we",122
"into my",122
"my phone",122
"never been",122
"of things",122
"oh my",122
"on sunday",122
"said its",122
"say i",122
"that way",122
"the greatest",122
"this month",122
"though the",122
"time the",122
"which he",122
"will do",122
"a short",121
"about his",121
"closer to",121
"follow back",121
"glad you",121
"look for",121
"of other",121
"picked up",121
"really good",121
"to figure",121
"until i",121
"was born",121
"will take",121
"you that",121
"all those",120
"are now",120
"excited about",120
"for being",120
"i hear",120
"i read",120
"of any",120
"the district",120
"the girls",120
"the yearold",120
"way i",120
"am a",119
"and two",119
"each of",119
"for two",119
"health care",119
"history of",119
"if she",119
"it took",119
"me but",119
"more about",119
"one is",119
"that when",119
"three years",119
"to return",119
"was very",119
"will you",119
"year the",119
"you make",119
"because you",118
"has no",118
"it that",118
"money to",118
"not as",118
"other people",118
"parts of",118
"the site",118
"the south",118
"things i",118
"to turn",118
"variety of",118
"very much",118
"years in",118
"youre a",118
"all this",117
"and were",117
"anyone else",117
"are also",117
"both of",117
"coming up",117
"from her",117
"home in",117
"in recent",117
"is coming",117
"name of",117
"on facebook",117
"outside the",117
"still in",117
"they say",117
"they should",117
"was still",117
"as possible",116
"before you",116
"enjoy the",116
"get up",116
"here i",116
"it at",116
"little more",116
"pair of",116
"that and",116
"that had",116
"the heart",116
"the wrong",116
"to bed",116
"wonder if",116
"a half",115
"a minute",115
"about my",115
"far as",115
"i heard",115
"i tried",115
"in st",115
"it should",115
"last years",115
"looked at",115
"must have",115
"pretty good",115
"see that",115
"the office",115
"the phone",115
"things are",115
"this summer",115
"to believe",115
"to just",115
"what would",115
"a story",114
"as part",114
"be done",114
"because we",114
"best friend",114
"best of",114
"cant believe",114
"found a",114
"give up",114
"go with",114
"it down",114
"love with",114
"me if",114
"more like",114
"once again",114
"point of",114
"put a",114
"the community",114
"the love",114
"to pm",114
"us in",114
"a quick",113
"a strong",113
"attention to",113
"because its",113
"been on",113
"charged with",113
"give it",113
"her own",113
"hope that",113
"is something",113
"more and",113
"more to",113
"much better",113
"the church",113
"to understand",113
"with its",113
"you ever",113
"and made",112
"at night",112
"but at",112
"for any",112
"found out",112
"give a",112
"happy mothers",112
"if not",112
"its hard",112
"ive got",112
"ive had",112
"just saw",112
"left the",112
"moved to",112
"my house",112
"rt if",112
"start to",112
"still a",112
"the heat",112
"we cant",112
"we went",112
"week and",112
"come in",111
"do so",111
"got it",111
"him a",111
"is only",111
"level of",111
"my sister",111
"saw the",111
"seems like",111
"state and",111
"sure you",111
"the guy",111
"the words",111
"to some",111
"was like",111
"was really",111
"yeah i",111
"cant be",110
"few weeks",110
"four years",110
"have done",110
"i loved",110
"it when",110
"me with",110
"set of",110
"she would",110
"shout out",110
"talking to",110
"that doesnt",110
"the body",110
"the party",110
"to for",110
"to open",110
"to reach",110
"to sell",110
"to send",110
"tonight at",110
"which are",110
"and well",109
"can help",109
"come from",109
"getting ready",109
"good day",109
"ice cream",109
"in january",109
"it be",109
"me at",109
"on one",109
"or more",109
"said but",109
"so glad",109
"some time",109
"story of",109
"the beach",109
"the home",109
"they need",109
"we didnt",109
"a fun",108
"but no",108
"didnt want",108
"do to",108
"for what",108
"have fun",108
"he and",108
"its an",108
"just want",108
"majority of",108
"my day",108
"night and",108
"on in",108
"one for",108
"only the",108
"our new",108
"please follow",108
"the need",108
"thing to",108
"to deal",108
"to raise",108
"who were",108
"woke up",108
"a local",107
"a state",107
"again and",107
"days of",107
"filled with",107
"just because",107
"like me",107
"me so",107
"no i",107
"no way",107
"of two",107
"out my",107
"put on",107
"the fourth",107
"this will",107
"to wait",107
"use it",107
"work for",107
"always been",106
"are very",106
"but my",106
"has become",106
"help me",106
"her husband",106
"how can",106
"if there",106
"in terms",106
"its about",106
"just have",106
"lead to",106
"like my",106
"love your",106
"me out",106
"my son",106
"of money",106
"our own",106
"say it",106
"so he",106
"the crowd",106
"the late",106
"the league",106
"the worlds",106
"then you",106
"think we",106
"to end",106
"to finish",106
"we go",106
"will come",106
"and dont",105
"and others",105
"didnt get",105
"difficult to",105
"hours of",105
"how about",105
"if a",105
"in chicago",105
"in place",105
"love this",105
"my parents",105
"now im",105
"real estate",105
"saw a",105
"than that",105
"the answer",105
"the hell",105
"the left",105
"the life",105
"them with",105
"this and",105
"this point",105
"use a",105
"went on",105
"allowed to",104
"at it",104
"excited for",104
"game and",104
"have my",104
"have never",104
"id like",104
"im on",104
"just for",104
"like an",104
"love my",104
"on you",104
"play the",104
"seemed to",104
"someone else",104
"that to",104
"the park",104
"there for",104
"to continue",104
"to not",104
"vice president",104
"what im",104
"will also",104
"world of",104
"a happy",103
"a moment",103
"did a",103
"find it",103
"for people",103
"found that",103
"given the",103
"good and",103
"how did",103
"i cannot",103
"in case",103
"in every",103
"it off",103
"know its",103
"no problem",103
"not all",103
"now we",103
"on wednesday",103
"one and",103
"same thing",103
"that day",103
"the building",103
"the difference",103
"the face",103
"the head",103
"the race",103
"to celebrate",103
"to cut",103
"way that",103
"who can",103
"with more",103
"a look",102
